timeout_subtype,n,mean,std,sigma2_h0,sigma2_h1,glrt_stat,glrt_p,t_stat,t_p,ci_low,ci_high,crit,reject_h0,signif,metric,slice,streak_bucket,margin_bucket,time_bucket
full,250,-0.0654442269647851,0.7321177983311234,0.538135431593697,0.5338524847506787,1.997676264362148,0.15754056735925503,-1.4133846861084505,0.1587915358573213,-0.15664007693275112,0.025751623003180915,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,up10+,,
full,5476,0.008290505787397701,0.6862916739799096,0.4709789832556508,0.47091025076943993,0.7992003338872525,0.37133256412427595,0.8939310376733336,0.37139808304081434,-0.009890634657258012,0.026471646232053413,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,up3-5,,
full,1470,0.008125271504858284,0.6759049722890502,0.45660277096837176,0.4565367509313441,0.21256216004726505,0.6447665784784375,0.46090445699711985,0.6449353805088518,-0.026455369480034317,0.042705912489750884,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,up6-9,,
official_inferred,6736,0.01616742555466778,0.6765923656303365,0.45797065507588175,0.457709269426816,3.8456533398090023,0.049875086846777994,1.961168079796042,0.049900561964469015,7.022068571414797e-6,0.032327829040764144,3.8414588206941205,true,*,excess_ppp_for_post,streak_bucket,calm,,
official_inferred,130,-0.02327956834814082,0.6373166437867159,0.40359003886967365,0.40304810056719786,0.17468053263942426,0.6759851351104262,-0.41647730364858776,0.6777529108153955,-0.1338719000895253,0.08731276339324366,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,down10+,,
official_inferred,4334,0.007892305032836016,0.6850047494667598,0.4691855277334189,0.4691232392546875,0.575414568670553,0.44811529746661916,0.7584985116578765,0.4481938576353759,-0.012507149311508576,0.028291759377180606,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,down3-5,,
official_inferred,1146,0.021836775929085506,0.7085684489769791,0.5021079858685443,0.5016311410855673,1.0888569504319658,0.29672461050302845,1.0432755184685854,0.2970409210480911,-0.019230596238233914,0.06290414809640493,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,down6-9,,
official_inferred,39,-0.10520590632065896,0.6601998565798648,0.4357561371828747,0.42468785445812346,1.0034048507466353,0.31648803386215374,-0.9951693685542713,0.325948974871372,-0.31921794235630857,0.10880612971499065,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,up10+,,
official_inferred,1771,0.006789880529144043,0.6874565680547637,0.47237578251266066,0.4723296800350606,0.17285279090969233,0.6775887881202475,0.415648433163273,0.6777176643150056,-0.025249281901899494,0.038829042960187576,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,up3-5,,
official_inferred,382,0.05717211109198509,0.7178475987521616,0.5172248588941676,0.5139562086074533,2.421744601098193,0.11966159837542001,1.55662377165973,0.12039007388961975,-0.01504339361830944,0.12938761580227962,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,up6-9,,
challenge,224,-0.009732774006847005,0.6359231685145597,0.4026876536959047,0.40259292680603637,0.05269920557417772,0.8184313021804971,-0.22906355710602944,0.8190294565243499,-0.09346489863069053,0.07399935061699651,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,down1-5,
challenge,93,-0.08480442842353848,0.5876638700004853,0.34882718696801884,0.3416353958877758,1.9374279685367506,0.16394807359005759,-1.3916531753118566,0.16738312073140782,-0.20583236691913953,0.03622351007206255,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,down15+,
challenge,288,0.03631109089437523,0.6769395019169111,0.4579744488508736,0.456655953528934,0.8303395880286478,0.3621743519727857,0.9103023900122287,0.36342693254878333,-0.04220108032364102,0.11482326211239148,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,down6-15,
challenge,46,-0.1442332571168015,0.6319671128652737,0.4115034374247635,0.3907002049662421,2.386334953264874,0.12240029281246101,-1.5479247644262224,0.12864519551575015,-0.3319043239699465,0.04343780973634351,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,tied,
challenge,251,-0.06285428411748545,0.6899690345876353,0.4781112872169748,0.4741606261850532,2.0826438208796847,0.14898193885606736,-1.44325192285131,0.15020135345495977,-0.1486268437302661,0.02291827549529521,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,up1-5,
challenge,128,-0.08974965828657051,0.6364239963298265,0.40992616439897983,0.40187116323642363,2.540225133996936,0.11097896131946794,-1.595479550729447,0.11309055571225102,-0.20106313577311952,0.021563819199978476,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,up15+,
challenge,366,0.010964823522277426,0.6765948115375318,0.45664999985438415,0.45652977249950943,0.09637360237394901,0.7562256344710222,0.3100369999084648,0.7567097600047734,-0.058582219459413276,0.08051186650396813,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,up6-15,
full,13777,0.010012527520777251,0.6813170326288804,0.4642594563354497,0.4641592056280954,2.9752827192581113,0.08454535403147989,1.7249313117215017,0.08456228095818097,-0.0013652691136380908,0.021390324155192594,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,down1-5,
full,7733,0.03430743755609589,0.6900305112029783,0.47725753390874665,0.47608053363708125,19.09448082504448,0.00001244041281878161,4.372139317214229,0.000012464577561654977,0.018925523877314603,0.04968935123487717,3.8414588206941205,true,***,excess_ppp_for_post,margin_bucket,,down15+,
full,19018,0.030505380178688854,0.6888789502071546,0.4754598333606798,0.4745292551408335,37.258832674783704,1.0344539669304709e-9,6.106831667094491,1.0360139413023717e-9,0.02071417331904237,0.04029658703833534,3.8414588206941205,true,***,excess_ppp_for_post,margin_bucket,,down6-15,
full,2982,-0.020309561776605145,0.6927443893632702,0.48014633678110663,0.47973385848154887,2.5628414276326144,0.1094017943860669,-1.6009632216824219,0.10949102475604122,-0.045183448839218154,0.004564325286007864,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,tied,
full,12333,-0.008228551634524423,0.6898800434305326,0.47596359306103186,0.4758958839990298,1.7545780300653628,0.18530224377549198,-1.3245982667016298,0.18532897684841387,-0.02040526083723674,0.003948157568187895,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,up1-5,
full,5112,-0.04295459995514081,0.6940591761630674,0.48346900486046984,0.48162390720316367,19.54661690726056,9.817444006854359e-6,-4.424952375672403,9.846959755810403e-6,-0.06198518011908864,-0.02392401979119298,3.8414588206941205,true,***,excess_ppp_for_post,margin_bucket,,up15+,
full,13281,-0.007675239346004055,0.681356378952854,0.464270468749046,0.4642115594500275,1.6852763490347042,0.19422482257479246,-1.2981742476527114,0.19425000987825936,-0.01926425669588162,0.00391377800387351,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,up6-15,
official_inferred,3404,0.01631621411988971,0.6718920874489037,0.4515725758735949,0.4513063570303888,2.007376483180753,0.1565358114547114,1.4168198899748343,0.15662712938653844,-0.006262922767952834,0.038895351007732254,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,down1-5,
official_inferred,1073,0.04031447328326564,0.6813179279358876,0.46538676233819914,0.463761505582092,3.7537653313254835,0.05268869463518289,1.9382555404578825,0.05285433304943732,-0.0004976005805599412,0.08112654714709122,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,down15+,
official_inferred,2987,0.0380399699191118,0.6919789983186007,0.48012166712009957,0.47867462780865266,9.016116828743563,0.0026760932165158513,3.004449180263556,0.0026827298618186113,0.01321438626184731,0.0628655535763763,3.8414588206941205,true,**,excess_ppp_for_post,margin_bucket,,down6-15,
official_inferred,743,-0.029979974411195487,0.6789671109201406,0.4612746839016878,0.46037588503599186,1.4491560932528758,0.22866341275511914,-1.2035854447967997,0.22913369059088162,-0.07888026158760311,0.01892031276521214,3.8414588206941205,false,ns,excess_ppp_for_post,margin_bucket,,tied,
